   0.0000   0.3722   0.3205
   0.1000   0.2354   0.7720
   0.2000   0.0644   0.2821
   0.3000   0.3211   0.8797
   0.4000   0.7158   0.5686
   0.5000   0.9362   0.5688
   0.6000   0.6418   0.5291
   0.7000   0.3615   0.3917
   0.8000   0.8310   0.2293
   0.9000   0.2658   0.0363
   1.0000   0.8265   0.7026
   1.1000   0.4441   0.9756
   1.2000   0.4481   0.8759
   1.3000   0.1568   0.8678
   1.4000   0.7101   0.2155
   1.5000   0.3862   0.6515
   1.6000   0.9914   0.9462
   1.7000   0.9098   0.2723
   1.8000   0.7906   0.6623
   1.9000   0.8602   0.1861
   2.0000   0.1179   0.6917
   2.1000   0.4910   0.6298
   2.2000   0.3103   0.9638
   2.3000   0.0964   0.7766
   2.4000   0.8997   0.8674
   2.5000   0.8868   0.3141
   2.6000   0.6022   0.2064
   2.7000   0.2390   0.3573
   2.8000   0.3950   0.0286
   2.9000   0.8585   0.3817
   3.0000   0.1856   0.8751
   3.1000   0.4063   0.4717
   3.2000   0.1233   0.2546
   3.3000   0.7767   0.5729
   3.4000   0.4615   0.1843
   3.5000   0.9735   0.0826
   3.6000   0.2890   0.7195
   3.7000   0.1615   0.0429
   3.8000   0.4295   0.2999
   3.9000   0.0296   0.1775
   4.0000   0.4775   0.4134
   4.1000   0.8533   0.0317
   4.2000   0.7438   0.2809
   4.3000   0.0090   0.2032
   4.4000   0.3294   0.2510
   4.5000   0.1244   0.9180
   4.6000   0.6896   0.7015
   4.7000   0.9139   0.6982
   4.8000   0.3970   0.6317
   4.9000   0.5494   0.0181
   5.0000   0.9057   0.6788
   5.1000   0.8332   0.5014
   5.2000   0.0854   0.5779
   5.3000   0.8221   0.0683
   5.4000   0.5284   0.2718
   5.5000   0.5813   0.3431
   5.6000   0.2605   0.0640
   5.7000   0.7480   0.2336
   5.8000   0.0717   0.7404
   5.9000   0.1920   0.6753
   6.0000   0.0893   0.6340
   6.1000   0.1294   0.4619
   6.2000   0.5387   0.0155
   6.3000   0.5084   0.0160
   6.4000   0.6191   0.9290
   6.5000   0.0515   0.6922
   6.6000   0.4386   0.3480
   6.7000   0.0867   0.4497
   6.8000   0.3838   0.4535
   6.9000   0.8972   0.8742
   7.0000   0.1533   0.6172
   7.1000   0.4539   0.4803
   7.2000   0.2271   0.7297
   7.3000   0.3407   0.6293
   7.4000   0.0625   0.9579
   7.5000   0.3310   0.8920
   7.6000   0.4755   0.4504
   7.7000   0.0610   0.3070
   7.8000   0.8361   0.8055
   7.9000   0.9457   0.1455
   8.0000   0.1431   0.9217
   8.1000   0.7118   0.0353
   8.2000   0.6423   0.6491
   8.3000   0.7968   0.9593
   8.4000   0.9712   0.1326
   8.5000   0.7001   0.5834
   8.6000   0.4787   0.7430
   8.7000   0.2867   0.3377
   8.8000   0.2056   0.4621
   8.9000   0.3600   0.5791
   9.0000   0.6818   0.9822
   9.1000   0.9317   0.1018
   9.2000   0.8998   0.2094
   9.3000   0.0498   0.8181
   9.4000   0.1764   0.1245
   9.5000   0.3082   0.4616
   9.6000   0.0024   0.3042
   9.7000   0.0986   0.5896
   9.8000   0.1314   0.3183
   9.9000   0.2340   0.1989
